adm1_code,name,Norm_Num_Firms,Norm_M_firms,Norm_F_firms,Norm_MI_firms,Norm_NonMI_firms,Norm_Num_Firms
USA-3541,Alabama,7.80,54.42,36.79,24.65,72.87,7.80
USA-3563,Alaska,9.30,52.04,32.54,20.12,75.18,9.30
USA-3520,Arizona,7.60,49.06,36.49,27.07,69.01,7.60
USA-3528,Arkansas,7.90,53.09,32.75,15.51,81.49,7.90
USA-3521,California,9.30,52.21,37.20,45.65,51.26,9.30
USA-3522,Colorado,10.60,51.99,35.54,15.68,80.82,10.60
USA-3537,Connecticut,9.10,57.50,32.65,17.18,79.47,9.10
USA-3555,Delaware,8.00,52.21,32.64,19.67,74.62,8.00
USA-3542,Florida,10.90,51.66,38.46,44.10,53.41,10.90
USA-3543,Georgia,9.40,51.68,40.49,39.96,57.95,9.40
USA-3517,Hawaii,8.50,51.00,37.53,62.65,32.51,8.50
USA-3518,Idaho,9.20,48.03,30.77,7.22,89.31,9.20
USA-3546,Illinois,8.80,53.71,36.78,27.46,70.05,8.80
USA-3547,Indiana,7.30,52.92,33.98,12.79,84.56,7.30
USA-3529,Iowa,8.40,52.25,31.78,5.68,91.29,8.40
USA-3530,Kansas,8.30,52.35,32.28,10.93,85.55,8.30
USA-3548,Kentucky,7.60,55.54,31.97,8.22,89.33,7.60
USA-3535,Louisiana,9.00,51.92,36.48,30.44,67.02,9.00
USA-3561,Maine,10.50,56.78,30.14,3.11,94.09,10.50
USA-3557,Maryland,9.00,52.00,39.31,38.24,59.20,9.00
USA-3513,Massachusetts,9.10,58.78,32.78,14.81,82.28,9.10
USA-3562,Michigan,8.40,53.49,36.81,19.06,78.80,8.40
USA-3514,Minnesota,9.10,54.90,32.24,9.66,87.58,9.10
USA-3544,Mississippi,7.89,53.12,37.87,31.78,65.87,7.89
USA-3531,Missouri,8.16,52.47,33.08,12.42,84.61,8.16
USA-3515,Montana,11.18,49.74,31.53,4.96,91.40,11.18
USA-3532,Nebraska,8.84,51.01,31.65,8.88,87.83,8.84
USA-3523,Nevada,8.23,50.21,36.32,31.64,63.81,8.23
USA-3538,New Hampshire,9.97,58.28,29.27,4.64,92.14,9.97
USA-3558,New Jersey,8.94,58.65,31.93,29.95,67.39,8.94
USA-3524,New Mexico,7.26,46.99,39.01,40.05,55.40,7.26
USA-3559,New York,10.27,56.74,36.12,35.29,62.14,10.27
USA-3549,North Carolina,8.26,54.06,35.62,22.75,74.84,8.26
USA-3516,North Dakota,9.76,54.22,29.76,4.67,91.21,9.76
USA-3550,Ohio,7.84,56.37,33.91,13.56,83.95,7.84
USA-3533,Oklahoma,8.58,53.29,32.14,19.83,76.10,8.58
USA-3525,Oregon,8.70,48.83,36.25,12.22,84.00,8.70
USA-3560,Pennsylvania,7.64,59.40,31.25,13.48,83.95,7.64
USA-3539,Rhode Island,9.01,57.74,32.21,15.57,81.40,9.01
USA-3545,South Carolina,7.78,55.05,35.86,22.63,75.13,7.78
USA-3534,South Dakota,9.76,52.17,29.17,5.04,91.29,9.76
USA-3551,Tennessee,8.53,54.91,35.55,19.12,78.85,8.53
USA-3536,Texas,9.04,53.11,36.77,45.42,51.97,9.04
USA-3526,Utah,8.81,52.57,30.34,9.71,87.04,8.81
USA-3540,Vermont,12.11,54.43,30.88,3.10,92.96,12.11
USA-3552,Virginia,7.98,54.04,36.17,28.33,68.91,7.98
USA-3519,Washington,7.85,48.50,34.66,17.14,78.80,7.85
USA-3554,West Virginia,6.17,55.15,34.14,5.05,91.57,6.17
USA-3553,Wisconsin,7.56,54.56,30.92,9.36,87.75,7.56
USA-3527,Wyoming,10.83,48.12,30.99,6.53,88.74,10.83
