USAstate,adm1_code,Norm_M_firms,Norm_F_firms,Norm_MI_firms,Norm_NonMI_firms
Alabama,USA-3541,54.42,36.79,24.65,72.87
Alaska,USA-3563,52.04,32.54,20.12,75.18
Arizona,USA-3520,49.06,36.49,27.07,69.01
Arkansas,USA-3528,53.09,32.75,15.51,81.49
California,USA-3521,52.21,37.20,45.65,51.26
Colorado,USA-3522,51.99,35.54,15.68,80.82
Connecticut,USA-3537,57.50,32.65,17.18,79.47
Delaware,USA-3555,52.21,32.64,19.67,74.62
Florida,USA-3542,51.66,38.46,44.10,53.41
Georgia,USA-3543,51.68,40.49,39.96,57.95
Hawaii,USA-3517,51.00,37.53,62.65,32.51
Idaho,USA-3518,48.03,30.77,7.22,89.31
Illinois,USA-3546,53.71,36.78,27.46,70.05
Indiana,USA-3547,52.92,33.98,12.79,84.56
Iowa,USA-3529,52.25,31.78,5.68,91.29
Kansas,USA-3530,52.35,32.28,10.93,85.55
Kentucky,USA-3548,55.54,31.97,8.22,89.33
Louisiana,USA-3535,51.92,36.48,30.44,67.02
Maine,USA-3561,56.78,30.14,3.11,94.09
Maryland,USA-3557,52.00,39.31,38.24,59.20
Massachusetts,USA-3513,58.78,32.78,14.81,82.28
Michigan,USA-3562,53.49,36.81,19.06,78.80
Minnesota,USA-3514,54.90,32.24,9.66,87.58
Mississippi,USA-3544,53.12,37.87,31.78,65.87
Missouri,USA-3531,52.47,33.08,12.42,84.61
Montana,USA-3515,49.74,31.53,4.96,91.40
Nebraska,USA-3532,51.01,31.65,8.88,87.83
Nevada,USA-3523,50.21,36.32,31.64,63.81
New Hampshire,USA-3538,58.28,29.27,4.64,92.14
New Jersey,USA-3558,58.65,31.93,29.95,67.39
New Mexico,USA-3524,46.99,39.01,40.05,55.40
New York,USA-3559,56.74,36.12,35.29,62.14
North Carolina,USA-3549,54.06,35.62,22.75,74.84
North Dakota,USA-3516,54.22,29.76,4.67,91.21
Ohio,USA-3550,56.37,33.91,13.56,83.95
Oklahoma,USA-3533,53.29,32.14,19.83,76.10
Oregon,USA-3525,48.83,36.25,12.22,84.00
Pennsylvania,USA-3560,59.40,31.25,13.48,83.95
Rhode Island,USA-3539,57.74,32.21,15.57,81.40
South Carolina,USA-3545,55.05,35.86,22.63,75.13
South Dakota,USA-3534,52.17,29.17,5.04,91.29
Tennessee,USA-3551,54.91,35.55,19.12,78.85
Texas,USA-3536,53.11,36.77,45.42,51.97
Utah,USA-3526,52.57,30.34,9.71,87.04
Vermont,USA-3540,54.43,30.88,3.10,92.96
Virginia,USA-3552,54.04,36.17,28.33,68.91
Washington,USA-3519,48.50,34.66,17.14,78.80
West Virginia,USA-3554,55.15,34.14,5.05,91.57
Wisconsin,USA-3553,54.56,30.92,9.36,87.75
Wyoming,USA-3527,48.12,30.99,6.53,88.74
